               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11273,            0.045833,                   0,           0.0046777,            0.071856,           0.0026665,          0.00049042,             0.11327,            0.022573,                   0,               3e-05,               3e-05,             0.09973
                   1,             0.10901,            0.046723,                   0,            0.010798,            0.077844,           0.0052381,          0.00095629,            0.096538,            0.020658,                   0,          6.9999e-05,          6.9999e-05,             0.09937
                   2,            0.097956,             0.05661,                   0,            0.031507,             0.17964,            0.013221,            0.002478,            0.080042,            0.020079,                   0,             0.00011,             0.00011,             0.09901
                   3,            0.089625,            0.056063,                   0,            0.050261,             0.20958,            0.023205,           0.0041571,            0.072472,            0.019963,                   0,          0.00014999,          0.00014999,             0.09865
                   4,             0.08626,            0.070755,                   0,             0.06295,             0.26347,            0.029598,            0.005117,            0.070545,            0.019822,                   0,          0.00018998,          0.00018998,             0.09829
                   5,             0.08245,             0.06124,                   0,            0.079914,             0.16766,            0.036144,           0.0068681,            0.069773,            0.019855,                   0,          0.00022995,          0.00022995,             0.09793
                   6,            0.081559,             0.05986,                   0,             0.12032,             0.20359,            0.062329,            0.012187,            0.066823,             0.02008,                   0,          0.00026992,          0.00026992,             0.09757
                   7,            0.081916,            0.066408,                   0,             0.17373,             0.21557,             0.10847,            0.024967,            0.061803,            0.020143,                   0,          0.00030988,          0.00030988,             0.09721
                   8,            0.077821,            0.063952,                   0,             0.18807,             0.27545,             0.13942,            0.032591,            0.058804,             0.02047,                   0,          0.00034982,          0.00034982,             0.09685
                   9,            0.072733,            0.065796,                   0,             0.26169,             0.35329,             0.21581,            0.053593,            0.056096,            0.020915,                   0,          0.00038975,          0.00038975,             0.09649
                  10,            0.072107,            0.067174,                   0,             0.41772,             0.31737,             0.26402,            0.076493,            0.052917,            0.020213,                   0,          0.00042966,          0.00042966,             0.09613
                  11,            0.061724,            0.058686,                   0,             0.56651,             0.25043,             0.29775,            0.087544,            0.053653,            0.019255,                   0,          0.00046955,          0.00046955,             0.09577
                  12,            0.064956,            0.065725,                   0,             0.38659,             0.25749,             0.24129,            0.062079,            0.053999,            0.017803,                   0,          0.00050942,          0.00050942,            0.095409
                  13,            0.062662,            0.064881,                   0,             0.48796,             0.38234,              0.3697,               0.105,            0.049746,            0.018335,                   0,          0.00054927,          0.00054927,            0.095049
                  14,             0.06155,            0.060308,                   0,             0.46894,             0.41773,             0.39119,              0.1332,            0.053184,            0.018146,                   0,          0.00058909,          0.00058909,            0.094689
                  15,             0.06108,            0.054269,                   0,             0.58634,             0.38196,             0.44431,             0.15033,            0.048239,             0.01695,                   0,          0.00062888,          0.00062888,            0.094329
                  16,            0.060562,            0.065487,                   0,             0.56264,             0.51497,             0.52281,             0.18693,            0.045146,            0.015207,                   0,          0.00066865,          0.00066865,            0.093969
                  17,            0.057496,             0.05734,                   0,             0.36735,             0.58084,              0.3728,             0.12191,            0.047105,            0.014522,                   0,          0.00070838,          0.00070838,            0.093608
                  18,            0.057761,            0.051672,                   0,             0.72325,             0.40719,             0.52486,             0.20017,            0.045754,            0.013964,                   0,          0.00074808,          0.00074808,            0.093248
                  19,             0.05875,             0.05166,                   0,             0.52726,             0.46082,             0.51293,             0.19136,            0.045998,             0.01332,                   0,          0.00078775,          0.00078775,            0.092888
                  20,            0.060003,            0.053612,                   0,             0.72588,             0.47904,             0.58377,             0.24856,             0.04562,            0.012555,                   0,          0.00082738,          0.00082738,            0.092527
                  21,             0.05795,            0.053936,                   0,             0.33117,             0.57223,             0.40998,             0.13532,            0.052562,              0.0122,                   0,          0.00086698,          0.00086698,            0.092167
                  22,            0.057266,            0.049211,                   0,             0.56868,             0.35928,             0.47362,               0.172,            0.045795,            0.011724,                   0,          0.00090653,          0.00090653,            0.091807
                  23,            0.058399,             0.04593,                   0,             0.49419,              0.5988,             0.59096,             0.20786,            0.045179,            0.011269,                   0,          0.00094604,          0.00094604,            0.091446
                  24,            0.053614,            0.049498,                   0,             0.37734,             0.64671,             0.48651,             0.15805,            0.046571,            0.011707,                   0,          0.00098551,          0.00098551,            0.091086
                  25,            0.055257,             0.05149,                   0,             0.35543,             0.59281,             0.45092,             0.18347,            0.047724,            0.011406,                   0,           0.0010249,           0.0010249,            0.090725
                  26,            0.058772,            0.054403,                   0,             0.66142,             0.51497,             0.62688,             0.26896,               0.044,            0.010928,                   0,           0.0010643,           0.0010643,            0.090364
                  27,            0.053696,            0.046141,                   0,              0.4226,             0.70659,              0.5781,             0.29046,            0.045593,            0.010721,                   0,           0.0011036,           0.0011036,            0.090004
                  28,            0.054421,            0.048312,                   0,             0.46213,             0.65868,             0.57158,             0.18837,            0.044678,            0.010988,                   0,           0.0011429,           0.0011429,            0.089643
                  29,            0.051766,            0.046143,                   0,             0.37611,             0.76647,             0.46545,             0.15668,            0.050091,            0.010276,                   0,           0.0011821,           0.0011821,            0.089282
                  30,            0.056127,            0.050965,                   0,             0.52888,             0.43114,              0.5325,             0.18391,            0.047821,            0.010416,                   0,           0.0012213,           0.0012213,            0.088921
                  31,            0.053957,             0.05886,                   0,             0.45362,             0.67665,             0.53606,             0.14234,            0.046301,            0.010595,                   0,           0.0012604,           0.0012604,             0.08856
                  32,            0.051704,            0.048412,                   0,              0.7618,             0.65269,             0.78199,             0.43268,            0.037319,            0.010642,                   0,           0.0012994,           0.0012994,            0.088199
                  33,            0.048742,            0.042568,                   0,             0.67799,             0.70659,             0.70651,             0.22687,            0.044467,            0.010153,                   0,           0.0013384,           0.0013384,            0.087838
                  34,            0.049844,            0.041834,                   0,             0.36909,             0.83722,              0.5235,             0.23454,            0.045635,            0.009503,                   0,           0.0013774,           0.0013774,            0.087477
