               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10326,            0.038164,                   0,            0.001772,             0.12987,            0.001039,          0.00020664,            0.088356,            0.020471,                   0,               2e-05,               2e-05,             0.09982
                   1,             0.10364,             0.04034,                   0,           0.0037011,            0.025974,            0.001427,          0.00023612,            0.086742,            0.019541,                   0,               5e-05,               5e-05,             0.09955
                   2,             0.10221,             0.03625,                   0,           0.0026914,            0.012987,           0.0011834,          0.00020788,            0.084416,            0.018476,                   0,          7.9997e-05,          7.9997e-05,             0.09928
                   3,            0.094521,            0.041454,                   0,           0.0059877,             0.23377,           0.0029814,          0.00038643,            0.078913,             0.01669,                   0,          0.00010999,          0.00010999,             0.09901
                   4,             0.08147,            0.042872,                   0,            0.026864,            0.064935,            0.007883,           0.0012305,            0.070186,            0.015462,                   0,          0.00013998,          0.00013998,             0.09874
                   5,            0.086726,            0.052891,                   0,            0.064169,             0.11688,            0.020072,           0.0032021,            0.059804,            0.014843,                   0,          0.00016997,          0.00016997,             0.09847
                   6,            0.075747,            0.050267,                   0,            0.087347,             0.15584,            0.031339,           0.0062436,            0.052818,            0.014389,                   0,          0.00019994,          0.00019994,              0.0982
                   7,            0.075498,            0.048286,                   0,            0.075576,             0.23377,            0.042999,           0.0098353,             0.04898,            0.014125,                   0,          0.00022991,          0.00022991,             0.09793
                   8,            0.075708,            0.041329,                   0,             0.10396,             0.32468,            0.069084,            0.016211,             0.04614,            0.013952,                   0,          0.00025987,          0.00025987,             0.09766
                   9,            0.070652,            0.057311,                   0,             0.17603,             0.22078,            0.077563,            0.018352,            0.042651,            0.014044,                   0,          0.00028981,          0.00028981,             0.09739
                  10,            0.069858,            0.059139,                   0,            0.090591,             0.38961,            0.074166,            0.013444,            0.040471,            0.014291,                   0,          0.00031975,          0.00031975,             0.09712
                  11,            0.075941,            0.062629,                   0,             0.18129,             0.37662,             0.13241,            0.035209,            0.038382,             0.01411,                   0,          0.00034967,          0.00034967,             0.09685
                  12,            0.065355,            0.056505,                   0,             0.25337,             0.44156,             0.22096,            0.068373,            0.035911,            0.013746,                   0,          0.00037957,          0.00037957,             0.09658
                  13,             0.04927,            0.045343,                   0,             0.25578,             0.45084,             0.25171,            0.075388,            0.033786,            0.013536,                   0,          0.00040945,          0.00040945,            0.096309
                  14,            0.052066,            0.042792,                   0,              0.3856,             0.33766,             0.29259,            0.092803,            0.032212,            0.013308,                   0,          0.00043932,          0.00043932,            0.096039
                  15,            0.066562,            0.064623,                   0,             0.47336,             0.32468,             0.33463,             0.10893,            0.031354,            0.012754,                   0,          0.00046917,          0.00046917,            0.095769
                  16,            0.059588,            0.063723,                   0,             0.41006,             0.33766,             0.32174,             0.11681,            0.031961,            0.012068,                   0,          0.00049899,          0.00049899,            0.095499
                  17,            0.056428,            0.046504,                   0,             0.39814,             0.31169,             0.30804,             0.13333,            0.030994,             0.01132,                   0,          0.00052879,          0.00052879,            0.095229
                  18,            0.050279,             0.05428,                   0,              0.2637,             0.55844,             0.30743,             0.15545,            0.029055,            0.010476,                   0,          0.00055857,          0.00055857,            0.094959
                  19,            0.059561,            0.051314,                   0,             0.29579,             0.58442,             0.29377,             0.14408,            0.030601,           0.0099496,                   0,          0.00058832,          0.00058832,            0.094688
                  20,            0.065087,            0.051555,                   0,             0.37008,             0.54174,             0.36047,             0.13386,            0.031513,           0.0097688,                   0,          0.00061804,          0.00061804,            0.094418
                  21,            0.057793,            0.040348,                   0,             0.26675,             0.41558,             0.19851,            0.070679,            0.036171,            0.010312,                   0,          0.00064774,          0.00064774,            0.094148
                  22,            0.065206,            0.048982,                   0,             0.24393,             0.41558,             0.18398,            0.057448,            0.032823,            0.010535,                   0,          0.00067741,          0.00067741,            0.093877
                  23,            0.050251,            0.041481,                   0,             0.18648,             0.53247,             0.16012,            0.040835,            0.040572,           0.0087293,                   0,          0.00070704,          0.00070704,            0.093607
                  24,            0.054439,            0.039051,                   0,             0.21353,             0.63636,             0.23304,            0.058223,            0.040067,           0.0077272,                   0,          0.00073664,          0.00073664,            0.093337
                  25,             0.05662,            0.029692,                   0,             0.31727,              0.4285,             0.23887,            0.072644,            0.038931,           0.0076669,                   0,          0.00076621,          0.00076621,            0.093066
                  26,            0.057605,            0.041313,                   0,             0.47128,             0.45455,             0.36677,            0.097336,            0.038531,           0.0079732,                   0,          0.00079574,          0.00079574,            0.092796
                  27,            0.052597,            0.044294,                   0,             0.47743,             0.42857,             0.45051,             0.21067,            0.033637,           0.0078456,                   0,          0.00082523,          0.00082523,            0.092525
                  28,            0.050183,            0.042487,                   0,             0.38976,             0.62338,             0.46502,             0.23466,            0.033785,           0.0071772,                   0,          0.00085469,          0.00085469,            0.092255
                  29,            0.048658,            0.038584,                   0,             0.39011,             0.37384,             0.31661,             0.11704,            0.037016,           0.0075505,                   0,          0.00088411,          0.00088411,            0.091984
                  30,            0.056424,            0.041118,                   0,             0.44899,             0.58442,             0.42907,             0.14087,            0.034478,           0.0076003,                   0,          0.00091348,          0.00091348,            0.091713
                  31,            0.044821,             0.03783,                   0,             0.51572,             0.63636,             0.54889,             0.20795,             0.02923,           0.0071582,                   0,          0.00094281,          0.00094281,            0.091443
                  32,            0.044778,            0.037755,                   0,             0.42266,             0.64653,             0.41112,              0.1131,            0.035314,           0.0067524,                   0,           0.0009721,           0.0009721,            0.091172
                  33,            0.046869,            0.038524,                   0,             0.39218,             0.69552,             0.45657,             0.10657,            0.033532,           0.0069889,                   0,           0.0010013,           0.0010013,            0.090901
                  34,            0.049677,            0.049066,                   0,             0.41366,             0.68831,             0.45162,             0.13337,              0.0372,           0.0074254,                   0,           0.0010305,           0.0010305,            0.090631
                  35,             0.04594,            0.031446,                   0,              0.4325,             0.67532,             0.50404,             0.16365,            0.032651,           0.0068858,                   0,           0.0010597,           0.0010597,             0.09036
                  36,            0.047796,             0.03239,                   0,             0.48611,             0.75325,             0.54621,             0.21728,            0.032029,           0.0066343,                   0,           0.0010888,           0.0010888,            0.090089
                  37,            0.049466,            0.032078,                   0,             0.61578,             0.79221,             0.77003,             0.40789,            0.028385,            0.006786,                   0,           0.0011178,           0.0011178,            0.089818
                  38,            0.058937,            0.041811,                   0,             0.53605,             0.48017,             0.53079,             0.17091,            0.042225,           0.0057968,                   0,           0.0011468,           0.0011468,            0.089547
                  39,            0.045185,            0.033806,                   0,             0.48126,             0.68831,             0.51445,             0.14234,            0.030501,            0.006163,                   0,           0.0011758,           0.0011758,            0.089276
                  40,            0.052774,            0.029177,                   0,             0.72374,             0.75325,             0.79108,             0.40539,            0.027046,           0.0062671,                   0,           0.0012047,           0.0012047,            0.089005
                  41,            0.050254,            0.038935,                   0,             0.51962,             0.64935,             0.55931,             0.22861,            0.033777,           0.0055876,                   0,           0.0012335,           0.0012335,            0.088734
                  42,            0.046151,            0.028911,                   0,             0.35558,             0.79221,             0.44793,             0.12825,            0.035054,           0.0052085,                   0,           0.0012623,           0.0012623,            0.088462
                  43,            0.044784,            0.029616,                   0,             0.51233,             0.77922,             0.63383,             0.34934,            0.030723,           0.0052411,                   0,            0.001291,            0.001291,            0.088191
                  44,            0.043605,            0.036052,                   0,             0.77418,             0.80519,             0.86262,              0.4453,            0.028963,           0.0054892,                   0,           0.0013196,           0.0013196,             0.08792
                  45,            0.038225,            0.034535,                   0,             0.64918,             0.87013,             0.80872,             0.43153,            0.028924,            0.005412,                   0,           0.0013482,           0.0013482,            0.087648
                  46,            0.043017,            0.031432,                   0,             0.83096,             0.76607,             0.88537,             0.47226,            0.022089,           0.0054689,                   0,           0.0013768,           0.0013768,            0.087377
                  47,             0.04117,            0.039736,                   0,             0.64993,             0.84389,             0.79011,             0.42954,            0.023375,           0.0054094,                   0,           0.0014052,           0.0014052,            0.087105
                  48,            0.044395,            0.032088,                   0,             0.73018,             0.84416,             0.85723,             0.38775,            0.029456,           0.0052396,                   0,           0.0014336,           0.0014336,            0.086834
                  49,            0.040042,            0.029984,                   0,             0.82027,             0.82984,             0.89767,             0.38495,            0.025861,           0.0051705,                   0,            0.001462,            0.001462,            0.086562
                  50,            0.049459,            0.034384,                   0,             0.73465,             0.79105,             0.80741,             0.26677,            0.027094,           0.0053424,                   0,           0.0014902,           0.0014902,             0.08629
                  51,            0.045217,            0.032719,                   0,             0.56769,              0.7013,              0.6386,             0.32211,            0.031282,           0.0053136,                   0,           0.0015184,           0.0015184,            0.086018
                  52,            0.039932,            0.035482,                   0,             0.67097,             0.66209,             0.76031,             0.37728,             0.02775,           0.0057443,                   0,           0.0015466,           0.0015466,            0.085747
                  53,            0.043561,            0.039987,                   0,             0.72722,             0.72708,             0.81141,             0.34484,            0.028273,           0.0055694,                   0,           0.0015746,           0.0015746,            0.085475
                  54,            0.044483,            0.034278,                   0,             0.67377,             0.80519,             0.77818,             0.23048,            0.029819,           0.0059243,                   0,           0.0016026,           0.0016026,            0.085203
                  55,            0.042971,            0.032841,                   0,             0.49242,             0.85714,             0.65748,              0.2799,            0.027654,           0.0055275,                   0,           0.0016305,           0.0016305,            0.084931
                  56,            0.040564,            0.037607,                   0,             0.74975,             0.85714,             0.86857,             0.35494,            0.027322,           0.0053997,                   0,           0.0016583,           0.0016583,            0.084658
                  57,            0.039806,            0.038087,                   0,             0.61465,             0.87001,             0.76982,             0.33005,            0.029511,           0.0050167,                   0,           0.0016861,           0.0016861,            0.084386
